employee_id,employee_code,gender,age,department_id,job_title,join_date,salary,email
151,EMP00151,Male,60.0,14.0,Engineer,,350000,
152,EMP00152,Male,49.0,3.0,Analyst,2025-07-01,500000,emp152@mail.com
153,EMP00153,male,41.0,12.0,HR,2025-07-01,-10000,emp153@mail.com
154,EMP00154,M,40.0,9.0,HR,2023-01-15,6 LPA,emp154@mail.com
155,EMP00155,Male,34.0,4.0,Manager,,,
156,EMP00156,F,51.0,5.0,Manager,15/02/2024,350000,
157,EMP00157,,29.0,20.0,Engineer,2025-07-01,800000,
158,EMP00158,M,58.0,3.0,QA,15/02/2024,,INVALID
159,EMP00159,Female,46.0,3.0,Intern,2023-01-15,,
160,EMP00160,Female,47.0,4.0,Analyst,2025-07-01,-10000,emp160@mail.com
161,EMP00161,Female,26.0,14.0,Manager,,500000,INVALID
162,EMP00162,Female,46.0,15.0,QA,15/02/2024,6 LPA,emp162@mail.com
163,EMP00163,M,38.0,9.0,QA,2025-07-01,800000,
164,EMP00164,,36.0,7.0,Manager,15/02/2024,500000,INVALID
165,EMP00165,Female,29.0,10.0,QA,15/02/2024,800000,emp165@mail.com
166,EMP00166,F,36.0,8.0,QA,,500000,emp166@mail.com
167,EMP00167,,49.0,2.0,Analyst,2023-01-15,,INVALID
168,EMP00168,F,43.0,2.0,HR,15/02/2024,350000,emp168@mail.com
169,EMP00169,Female,58.0,19.0,Engineer,2023-01-15,800000,INVALID
170,EMP00170,F,58.0,9.0,Intern,2023-01-15,350000,
171,EMP00171,Female,22.0,12.0,HR,15/02/2024,350000,INVALID
172,EMP00172,M,22.0,20.0,Intern,15/02/2024,350000,
173,EMP00173,F,99.0,12.0,Engineer,,800000,emp173@mail.com
174,EMP00174,Female,22.0,16.0,QA,,350000,
175,EMP00175,Male,45.0,,QA,15/02/2024,6 LPA,emp175@mail.com
176,EMP00176,,30.0,13.0,Intern,2025-07-01,,
177,EMP00177,,39.0,14.0,Analyst,2025-07-01,6 LPA,
178,EMP00178,F,46.0,1.0,HR,15/02/2024,,
179,EMP00179,Female,20.0,14.0,Engineer,,350000,emp179@mail.com
180,EMP00180,F,56.0,12.0,Manager,15/02/2024,500000,emp180@mail.com
181,EMP00181,Male,55.0,5.0,Intern,,350000,
182,EMP00182,,52.0,6.0,Engineer,2025-07-01,800000,INVALID
183,EMP00183,male,30.0,3.0,Analyst,,,INVALID
184,EMP00184,M,28.0,2.0,Manager,2025-07-01,350000,
185,EMP00185,Male,59.0,6.0,Intern,15/02/2024,-10000,
186,EMP00186,male,32.0,16.0,Engineer,,500000,emp186@mail.com
187,EMP00187,F,53.0,6.0,Manager,2025-07-01,350000,INVALID
188,EMP00188,Female,32.0,2.0,QA,2023-01-15,6 LPA,
189,EMP00189,Male,44.0,20.0,Manager,,6 LPA,
190,EMP00190,,46.0,10.0,QA,15/02/2024,,
191,EMP00191,,43.0,15.0,QA,,500000,emp191@mail.com
192,EMP00192,Male,59.0,16.0,Manager,15/02/2024,,
193,EMP00193,Female,50.0,13.0,Analyst,2023-01-15,500000,
194,EMP00194,F,43.0,3.0,Manager,,-10000,emp194@mail.com
195,EMP00195,Male,60.0,5.0,Analyst,2025-07-01,6 LPA,emp195@mail.com
196,EMP00196,Male,52.0,13.0,Intern,15/02/2024,350000,emp196@mail.com
197,EMP00197,male,27.0,7.0,Engineer,,800000,INVALID
198,EMP00198,,34.0,3.0,HR,,800000,INVALID
199,EMP00199,M,59.0,9.0,Manager,15/02/2024,800000,
200,EMP00200,Female,57.0,9.0,QA,,500000,
201,EMP00201,M,22.0,7.0,Engineer,,500000,
202,EMP00202,,40.0,13.0,Engineer,2025-07-01,350000,emp202@mail.com
203,EMP00203,,43.0,15.0,QA,,-10000,emp203@mail.com
204,EMP00204,M,54.0,99.0,Manager,2025-07-01,800000,
205,EMP00205,M,56.0,5.0,HR,2025-07-01,350000,
206,EMP00206,Female,31.0,20.0,Intern,2023-01-15,800000,
207,EMP00207,M,60.0,19.0,Intern,2025-07-01,6 LPA,emp207@mail.com
208,EMP00208,,22.0,8.0,Engineer,2025-07-01,-10000,
209,EMP00209,F,52.0,12.0,Analyst,15/02/2024,,INVALID
210,EMP00210,male,,2.0,Analyst,2023-01-15,350000,
211,EMP00211,M,26.0,17.0,HR,,500000,
212,EMP00212,male,39.0,19.0,Engineer,15/02/2024,800000,
213,EMP00213,Female,28.0,1.0,Engineer,15/02/2024,,emp213@mail.com
214,EMP00214,Male,60.0,5.0,Intern,2025-07-01,,
215,EMP00215,Male,23.0,99.0,QA,2025-07-01,-10000,
216,EMP00216,male,53.0,16.0,Engineer,15/02/2024,350000,emp216@mail.com
217,EMP00217,Male,54.0,1.0,Manager,15/02/2024,500000,INVALID
218,EMP00218,Male,26.0,1.0,QA,,6 LPA,INVALID
219,EMP00219,Female,46.0,7.0,QA,,6 LPA,
220,EMP00220,male,31.0,17.0,HR,2023-01-15,800000,emp220@mail.com
221,EMP00221,,50.0,18.0,Analyst,,,
222,EMP00222,Male,,15.0,Engineer,15/02/2024,350000,
223,EMP00223,Female,,2.0,Analyst,2025-07-01,6 LPA,
224,EMP00224,,23.0,9.0,Intern,,6 LPA,
225,EMP00225,,53.0,9.0,HR,15/02/2024,350000,emp225@mail.com
226,EMP00226,Female,36.0,8.0,Intern,15/02/2024,500000,
227,EMP00227,Female,44.0,11.0,QA,15/02/2024,,
228,EMP00228,F,53.0,1.0,Analyst,,6 LPA,INVALID
229,EMP00229,male,39.0,7.0,Manager,,-10000,emp229@mail.com
230,EMP00230,male,30.0,5.0,Analyst,2023-01-15,350000,emp230@mail.com
231,EMP00231,male,30.0,12.0,Engineer,2023-01-15,350000,emp231@mail.com
232,EMP00232,Female,,99.0,Analyst,2023-01-15,6 LPA,emp232@mail.com
233,EMP00233,Male,57.0,12.0,Engineer,,6 LPA,emp233@mail.com
234,EMP00234,,44.0,4.0,Engineer,15/02/2024,500000,emp234@mail.com
235,EMP00235,Male,22.0,99.0,Analyst,2025-07-01,,emp235@mail.com
236,EMP00236,Female,26.0,99.0,Engineer,2025-07-01,800000,
237,EMP00237,F,36.0,1.0,HR,2025-07-01,800000,emp237@mail.com
238,EMP00238,,43.0,11.0,QA,,,
239,EMP00239,male,21.0,14.0,Analyst,,-10000,emp239@mail.com
240,EMP00240,M,50.0,2.0,QA,,500000,emp240@mail.com
241,EMP00241,male,38.0,6.0,Manager,2023-01-15,-10000,INVALID
242,EMP00242,M,23.0,1.0,HR,,350000,
243,EMP00243,,31.0,16.0,QA,2025-07-01,-10000,
244,EMP00244,male,30.0,10.0,Engineer,15/02/2024,,INVALID
245,EMP00245,Male,60.0,3.0,Manager,,350000,
246,EMP00246,M,26.0,13.0,Manager,2023-01-15,,emp246@mail.com
247,EMP00247,M,33.0,10.0,HR,,-10000,INVALID
248,EMP00248,F,60.0,8.0,Manager,15/02/2024,-10000,emp248@mail.com
249,EMP00249,M,57.0,11.0,QA,15/02/2024,,
250,EMP00250,Female,49.0,15.0,Intern,2025-07-01,-10000,INVALID
251,EMP00251,Female,41.0,15.0,Intern,15/02/2024,-10000,INVALID
252,EMP00252,M,39.0,20.0,Engineer,15/02/2024,500000,
253,EMP00253,male,53.0,12.0,Engineer,15/02/2024,800000,INVALID
254,EMP00254,M,26.0,6.0,Intern,2023-01-15,500000,
255,EMP00255,Female,29.0,10.0,Intern,2025-07-01,,
256,EMP00256,Female,26.0,99.0,Analyst,2025-07-01,500000,
257,EMP00257,F,22.0,1.0,Manager,,6 LPA,INVALID
258,EMP00258,male,60.0,10.0,Manager,2023-01-15,500000,
259,EMP00259,male,45.0,1.0,Intern,15/02/2024,,
260,EMP00260,Female,-2.0,99.0,Intern,,500000,INVALID
261,EMP00261,,27.0,15.0,Manager,2025-07-01,800000,emp261@mail.com
262,EMP00262,F,35.0,13.0,Intern,15/02/2024,800000,
263,EMP00263,F,49.0,1.0,QA,,-10000,INVALID
264,EMP00264,,40.0,1.0,Manager,,350000,emp264@mail.com
265,EMP00265,M,54.0,7.0,Engineer,15/02/2024,-10000,
266,EMP00266,Male,56.0,15.0,QA,15/02/2024,6 LPA,
267,EMP00267,male,21.0,99.0,HR,,800000,
268,EMP00268,,49.0,7.0,Intern,15/02/2024,,emp268@mail.com
269,EMP00269,,59.0,12.0,Intern,2023-01-15,800000,
270,EMP00270,F,45.0,2.0,Analyst,2023-01-15,,
271,EMP00271,,99.0,12.0,QA,2025-07-01,350000,INVALID
272,EMP00272,M,45.0,17.0,Engineer,,,INVALID
273,EMP00273,Female,28.0,3.0,Intern,15/02/2024,,INVALID
274,EMP00274,Female,42.0,,Intern,,,
275,EMP00275,male,,5.0,Manager,2025-07-01,500000,
276,EMP00276,,44.0,,HR,,6 LPA,INVALID
277,EMP00277,F,20.0,9.0,HR,15/02/2024,6 LPA,
278,EMP00278,M,50.0,16.0,Manager,,6 LPA,emp278@mail.com
279,EMP00279,,43.0,5.0,HR,,350000,emp279@mail.com
280,EMP00280,male,40.0,5.0,QA,2025-07-01,6 LPA,emp280@mail.com
281,EMP00281,,20.0,7.0,Analyst,2025-07-01,800000,emp281@mail.com
282,EMP00282,male,29.0,8.0,Engineer,,800000,INVALID
283,EMP00283,Female,45.0,18.0,Engineer,,6 LPA,emp283@mail.com
284,EMP00284,,55.0,99.0,HR,15/02/2024,,INVALID
285,EMP00285,male,25.0,15.0,Intern,2023-01-15,-10000,emp285@mail.com
286,EMP00286,M,46.0,8.0,Engineer,,,emp286@mail.com
287,EMP00287,F,49.0,5.0,Intern,,500000,
288,EMP00288,Female,54.0,20.0,Intern,2023-01-15,500000,
289,EMP00289,F,56.0,16.0,Intern,2025-07-01,,
290,EMP00290,F,46.0,,Analyst,15/02/2024,6 LPA,
291,EMP00291,,,1.0,Analyst,,350000,
292,EMP00292,Male,52.0,16.0,Manager,15/02/2024,350000,INVALID
293,EMP00293,,46.0,99.0,Engineer,2025-07-01,350000,
294,EMP00294,M,50.0,17.0,QA,15/02/2024,800000,
295,EMP00295,M,47.0,9.0,QA,2023-01-15,800000,
296,EMP00296,M,51.0,13.0,HR,,800000,
297,EMP00297,Female,,16.0,Analyst,2025-07-01,500000,
298,EMP00298,,39.0,5.0,QA,2023-01-15,350000,
299,EMP00299,,55.0,13.0,QA,,350000,
300,EMP00300,M,26.0,1.0,Analyst,15/02/2024,,emp300@mail.com
301,EMP00301,male,54.0,20.0,Manager,,500000,emp301@mail.com
302,EMP00302,Female,22.0,,Intern,,6 LPA,INVALID
303,EMP00303,Male,-2.0,6.0,Analyst,,350000,emp303@mail.com
304,EMP00304,M,28.0,10.0,QA,2025-07-01,800000,INVALID
305,EMP00305,F,22.0,11.0,Analyst,,-10000,emp305@mail.com
306,EMP00306,F,56.0,17.0,Analyst,2023-01-15,,
307,EMP00307,F,24.0,1.0,Intern,,-10000,INVALID
308,EMP00308,F,46.0,18.0,Analyst,2023-01-15,6 LPA,
309,EMP00309,Female,29.0,99.0,Analyst,,350000,emp309@mail.com
310,EMP00310,,-2.0,4.0,Analyst,15/02/2024,350000,INVALID
311,EMP00311,F,21.0,9.0,Intern,,500000,
312,EMP00312,,31.0,2.0,HR,15/02/2024,6 LPA,emp312@mail.com
313,EMP00313,M,60.0,18.0,Intern,,,
314,EMP00314,Male,22.0,1.0,Analyst,2023-01-15,6 LPA,emp314@mail.com
315,EMP00315,F,39.0,10.0,Intern,,500000,
316,EMP00316,male,23.0,11.0,HR,,6 LPA,
317,EMP00317,F,99.0,6.0,Engineer,2023-01-15,800000,INVALID
318,EMP00318,,46.0,16.0,Manager,,800000,
319,EMP00319,M,37.0,2.0,QA,,800000,emp319@mail.com
320,EMP00320,Female,58.0,10.0,QA,,500000,
321,EMP00321,F,99.0,13.0,QA,15/02/2024,,
322,EMP00322,,20.0,11.0,HR,2025-07-01,,INVALID
323,EMP00323,male,22.0,10.0,Engineer,,500000,
324,EMP00324,male,99.0,16.0,HR,,350000,
325,EMP00325,F,32.0,8.0,HR,,350000,
326,EMP00326,F,33.0,9.0,QA,2023-01-15,,
327,EMP00327,male,25.0,18.0,HR,2023-01-15,500000,
328,EMP00328,male,53.0,9.0,QA,2025-07-01,,INVALID
329,EMP00329,Female,33.0,7.0,Analyst,15/02/2024,6 LPA,
330,EMP00330,M,56.0,19.0,HR,,-10000,INVALID
331,EMP00331,Female,22.0,16.0,HR,2023-01-15,800000,
332,EMP00332,Male,29.0,11.0,QA,2023-01-15,800000,
333,EMP00333,male,58.0,1.0,Analyst,2023-01-15,500000,
334,EMP00334,male,56.0,7.0,HR,2025-07-01,,emp334@mail.com
335,EMP00335,F,57.0,20.0,Engineer,2025-07-01,350000,
336,EMP00336,Female,31.0,13.0,Analyst,2023-01-15,350000,emp336@mail.com
337,EMP00337,male,43.0,15.0,Manager,2023-01-15,-10000,
338,EMP00338,Male,25.0,9.0,HR,,500000,emp338@mail.com
339,EMP00339,,52.0,13.0,Engineer,,500000,
340,EMP00340,Female,34.0,6.0,Analyst,2025-07-01,800000,emp340@mail.com
341,EMP00341,male,21.0,2.0,HR,,6 LPA,
342,EMP00342,Male,26.0,5.0,HR,2023-01-15,500000,
343,EMP00343,male,57.0,15.0,Intern,2023-01-15,,
344,EMP00344,M,36.0,13.0,Analyst,2025-07-01,,
345,EMP00345,Female,48.0,8.0,Engineer,2023-01-15,,INVALID
346,EMP00346,Male,30.0,8.0,Analyst,,800000,INVALID
347,EMP00347,F,26.0,13.0,Analyst,2023-01-15,,
348,EMP00348,M,34.0,16.0,Analyst,2025-07-01,500000,
349,EMP00349,Female,23.0,6.0,Intern,,-10000,INVALID
350,EMP00350,F,29.0,9.0,Manager,,500000,INVALID
351,EMP00351,Male,37.0,19.0,HR,2025-07-01,500000,
352,EMP00352,F,26.0,11.0,Manager,,350000,INVALID
353,EMP00353,male,23.0,99.0,Intern,15/02/2024,-10000,
354,EMP00354,M,27.0,9.0,Engineer,2025-07-01,,
355,EMP00355,Female,35.0,4.0,Manager,2025-07-01,,INVALID
356,EMP00356,Male,38.0,5.0,Intern,2023-01-15,,
357,EMP00357,male,28.0,15.0,Analyst,,800000,INVALID
358,EMP00358,M,47.0,2.0,Manager,15/02/2024,800000,INVALID
359,EMP00359,Female,31.0,17.0,Engineer,15/02/2024,500000,emp359@mail.com
360,EMP00360,Male,58.0,16.0,HR,15/02/2024,500000,INVALID
361,EMP00361,male,-2.0,99.0,Engineer,,800000,INVALID
362,EMP00362,Male,24.0,17.0,Manager,2023-01-15,-10000,
363,EMP00363,M,38.0,99.0,Manager,2023-01-15,350000,
364,EMP00364,F,28.0,,HR,15/02/2024,500000,
365,EMP00365,Male,30.0,12.0,QA,,350000,
366,EMP00366,male,48.0,17.0,Analyst,2023-01-15,800000,INVALID
367,EMP00367,M,44.0,19.0,Analyst,2025-07-01,350000,
368,EMP00368,F,52.0,1.0,QA,,500000,emp368@mail.com
369,EMP00369,Female,25.0,8.0,QA,15/02/2024,500000,emp369@mail.com
370,EMP00370,M,36.0,18.0,Analyst,2023-01-15,350000,INVALID
371,EMP00371,M,21.0,20.0,Intern,,,INVALID
372,EMP00372,,48.0,4.0,HR,2023-01-15,6 LPA,INVALID
373,EMP00373,Male,37.0,4.0,Manager,,-10000,
374,EMP00374,Male,27.0,4.0,Manager,15/02/2024,-10000,INVALID
375,EMP00375,Female,29.0,,QA,,6 LPA,
376,EMP00376,Female,21.0,99.0,Manager,,-10000,emp376@mail.com
377,EMP00377,F,23.0,12.0,HR,,500000,
378,EMP00378,,47.0,19.0,HR,,-10000,emp378@mail.com
379,EMP00379,M,53.0,5.0,Intern,2025-07-01,500000,
380,EMP00380,,60.0,1.0,HR,2023-01-15,-10000,INVALID
381,EMP00381,Male,40.0,14.0,Engineer,,6 LPA,emp381@mail.com
382,EMP00382,Female,28.0,14.0,Manager,,6 LPA,emp382@mail.com
383,EMP00383,Male,22.0,99.0,QA,2025-07-01,6 LPA,
384,EMP00384,,54.0,2.0,QA,2023-01-15,800000,emp384@mail.com
385,EMP00385,male,20.0,14.0,Engineer,2023-01-15,800000,emp385@mail.com
386,EMP00386,M,42.0,99.0,Engineer,2023-01-15,350000,
387,EMP00387,Male,49.0,19.0,QA,15/02/2024,,emp387@mail.com
388,EMP00388,male,28.0,10.0,Manager,,800000,
389,EMP00389,Female,25.0,18.0,HR,,-10000,INVALID
390,EMP00390,,44.0,7.0,QA,2025-07-01,,
391,EMP00391,male,50.0,16.0,HR,2023-01-15,500000,
392,EMP00392,Female,32.0,17.0,QA,,-10000,
393,EMP00393,Male,42.0,6.0,Engineer,2025-07-01,-10000,
394,EMP00394,F,37.0,10.0,Engineer,2025-07-01,350000,emp394@mail.com
395,EMP00395,Female,55.0,3.0,QA,2025-07-01,,emp395@mail.com
396,EMP00396,male,44.0,15.0,HR,2023-01-15,-10000,INVALID
397,EMP00397,,29.0,14.0,HR,2025-07-01,500000,INVALID
398,EMP00398,male,59.0,9.0,QA,2023-01-15,6 LPA,
399,EMP00399,M,60.0,99.0,Intern,15/02/2024,,emp399@mail.com
400,EMP00400,Male,46.0,18.0,QA,2023-01-15,,
401,EMP00401,male,29.0,14.0,HR,,-10000,emp401@mail.com
402,EMP00402,F,48.0,15.0,HR,2025-07-01,800000,
403,EMP00403,F,53.0,18.0,QA,,6 LPA,
404,EMP00404,Male,51.0,13.0,Manager,2025-07-01,500000,
405,EMP00405,Female,47.0,19.0,Manager,,500000,emp405@mail.com
406,EMP00406,M,40.0,20.0,Engineer,2025-07-01,500000,
407,EMP00407,Male,21.0,2.0,HR,,,
408,EMP00408,male,39.0,18.0,QA,,-10000,
409,EMP00409,F,49.0,12.0,Analyst,,6 LPA,
